ii,r
1,1891
2,5758
3,1545
4,3870
5,9769
6,4333
7,7748
8,315
9,992
10,9840
11,8256
12,1615
13,6082
14,9907
15,1486
16,2081
17,3305
18,9230
19,1929
20,7210
21,9841
22,8452
23,4363
24,357
25,1274
26,6230
27,8129
28,806
29,6496
30,1980
31,9204
32,7136
33,9224
34,821
35,6740
36,4276
37,2841
38,712
39,5069
40,6947
41,2608
42,8016
43,2562
44,5638
45,7870
46,9369
47,7781
48,5439
49,5827
50,9539
51,9925
52,5056
53,5631
54,7081
55,1405
56,9740
57,8676
58,2729
59,4474
60,166
61,275
62,756
63,5715
64,6612
65,7185
66,6242
67,9625
68,6406
69,368
70,1354
71,8333
72,4388
73,2545
74,4770
75,7529
76,6858
77,321
78,1030
79,609
80,3708
81,7492
82,1300
83,6900
84,6100
85,2100
86,4100
87,8100
88,6100
89,2100
90,4100
91,8100
92,6100
93,2100
94,4100
95,8100
96,6100
97,2100
98,4100
99,8100
100,6100
101,2100
102,4100
103,8100
104,6100
105,2100
106,4100
107,8100
108,6100
109,2100
110,4100
111,8100
112,6100
113,2100
114,4100
115,8100
116,6100
117,2100
118,4100
119,8100
120,6100
121,2100
122,4100
123,8100
124,6100
125,2100
126,4100
127,8100
128,6100
129,2100
130,4100
131,8100
132,6100
133,2100
134,4100
135,8100
136,6100
137,2100
138,4100
139,8100
140,6100
141,2100
142,4100
143,8100
144,6100
145,2100
146,4100
147,8100
148,6100
149,2100
150,4100
151,8100
152,6100
153,2100
154,4100
155,8100
156,6100
157,2100
158,4100
159,8100
160,6100
161,2100
162,4100
163,8100
164,6100
165,2100
166,4100
167,8100
168,6100
169,2100
170,4100
171,8100
172,6100
173,2100
174,4100
175,8100
176,6100
177,2100
178,4100
179,8100
180,6100
181,2100
182,4100
183,8100
184,6100
185,2100
186,4100
187,8100
188,6100
189,2100
190,4100
191,8100
192,6100
193,2100
194,4100
195,8100
196,6100
197,2100
198,4100
199,8100
200,6100
201,2100
202,4100
203,8100
204,6100
205,2100
206,4100
207,8100
208,6100
209,2100
210,4100
211,8100
212,6100
213,2100
214,4100
215,8100
216,6100
217,2100
218,4100
219,8100
220,6100
221,2100
222,4100
223,8100
224,6100
225,2100
226,4100
227,8100
228,6100
229,2100
230,4100
231,8100
232,6100
233,2100
234,4100
235,8100
236,6100
237,2100
238,4100
239,8100
240,6100
241,2100
242,4100
243,8100
244,6100
245,2100
246,4100
247,8100
248,6100
249,2100
250,4100
251,8100
252,6100
253,2100
254,4100
255,8100
256,6100
257,2100
258,4100
259,8100
260,6100
261,2100
262,4100
263,8100
264,6100
265,2100
266,4100
267,8100
268,6100
269,2100
270,4100
271,8100
272,6100
273,2100
274,4100
275,8100
276,6100
277,2100
278,4100
279,8100
280,6100
281,2100
282,4100
283,8100
284,6100
285,2100
286,4100
287,8100
288,6100
289,2100
290,4100
291,8100
292,6100
293,2100
294,4100
295,8100
296,6100
297,2100
298,4100
299,8100
300,6100
