n,norma
1,5.830952
2,8.602325
3,17.029386
4,25.495098
5,42.449971
6,59.413803
7,84.864598
8,101.833197
9,144.256716
10,152.741612
11,195.166596
12,212.136748
13,254.562370
14,271.532687
15,280.017857
16,322.443794
17,339.414201
18,381.840281
19,398.810732
20,441.236898
21,492.148352
22,593.971380
23,610.941896
24,653.368196
25,738.220834
26,806.102971
27,848.529316
28,873.985126
29,907.926208
30,933.382023
31,1145.513858
32,1162.484408
33,1170.969684
34,1213.396061
35,1247.337164
36,1442.498527
37,1459.469082
38,1484.924914
39,1501.895469
40,1544.321858
41,1629.174638
42,1739.483257
43,1807.365486
44,1824.336044
45,1841.306601
46,1866.762438
47,2019.497462
48,2053.438580
49,2095.864977
50,2104.350256
51,2274.055848
52,2291.026408
53,2358.908646
54,2401.335045
55,2435.276165
56,2528.614245
57,2647.408166
58,2655.893447
59,2732.260969
60,2757.716809
61,2825.599052
62,2868.025453
63,2944.392976
64,2952.878257
65,2986.819379
66,3012.275220
67,3029.245781
68,3165.010269
69,3207.436671
70,3266.833635
71,3309.260038
72,3368.657002
73,3606.244861
74,3665.641826
75,3758.979915
76,3801.406319
77,3835.347442
78,3860.803284
79,3945.656092
80,3962.626654
81,4200.214518
82,4242.640923
83,4412.346541
84,4480.228789
85,4599.022722
86,4607.508003
87,4666.904970
88,4709.331375
89,4751.757780
90,4768.728342
91,4794.184185
92,4896.007557
93,4904.492838
94,4989.345648
95,5006.316211
96,5031.772054
97,5065.713178
98,5192.992394
99,5328.756891
100,5405.124420
