N	Error_Trapezoid	Error_Simpson	Error_Trapezoid_R	Error_Simpson_R
2	0.596559	1.8521	1.08929	1.28538
4	0.667827	1.08929	1.98299	2.04257
8	1.6542	1.98299	0.988487	0.922187
16	1.15491	0.988487	0.153249	0.0975668
32	0.403666	0.153249	0.176815	0.178386
64	0.233528	0.176815	0.204699	0.206558
128	0.211906	0.204699	0.0210623	0.0361131
256	0.0371799	0.0210623	0.00895525	0.00814812
512	0.00257853	0.00895525	0.000104371	0.000485688
1024	0.000566355	0.000104371	5.20521e-06	1.40585e-06
2048	0.000137685	5.20521e-06	3.09291e-07	1.7103e-08
4096	3.41893e-05	3.09291e-07	1.9094e-08	2.52533e-10
8192	8.53299e-06	1.9094e-08	1.18973e-09	3.88656e-12
16384	2.13236e-06	1.18973e-09	7.43001e-11	5.87308e-14
32768	5.33033e-07	7.4303e-11	4.64517e-12	1.77636e-15
65536	1.33255e-07	4.64562e-12	3.09308e-13	5.55112e-15
131072	3.33135e-08	2.95541e-13	4.68514e-14	1.17684e-14
262144	8.32834e-09	7.54952e-15	1.23235e-14	9.76996e-15
524288	2.08209e-09	9.54792e-15	1.26565e-14	4.74065e-14
1048576	5.20514e-10	4.38538e-14	2.39808e-14	1.79856e-14
